entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-03-25 06:00:00,2009-03-25 07:00:00,LONG,VOLATILE,Cautious Mean Reversion,921.63,917.95,0.1071260771546177,-0.39422396392898773,Stop Loss,997.5278801185443
2009-03-25 07:00:00,2009-03-25 08:00:00,SHORT,TRENDING,Momentum Breakout,917.95,921.85,0.09550015871785382,-0.3724506189996277,Stop Loss,997.1554294995447
2009-03-25 09:30:00,2009-03-25 10:00:00,LONG,TRENDING,Momentum Breakout,939.85,927.2,0.04639773879957166,-0.5869313958145804,Stop Loss,996.5684981037301
2009-03-25 22:30:00,2009-03-26 02:00:00,LONG,VOLATILE,Cautious Mean Reversion,932.73,935.85,0.10837330469800938,0.33812471065778976,Target Hit,996.9066228143879
2009-03-26 05:30:00,2009-03-26 07:30:00,SHORT,VOLATILE,Cautious Mean Reversion,936.7,940.05,0.13261834363667546,-0.4442714511828507,Stop Loss,996.462351363205
2009-03-26 07:30:00,2009-03-26 13:00:00,SHORT,VOLATILE,Cautious Mean Reversion,940.05,940.2,0.0911712571150405,-0.013675688567264366,Regime Change,996.4486756746378
2009-03-26 15:30:00,2009-03-27 03:00:00,LONG,VOLATILE,Cautious Mean Reversion,935.13,933.75,0.07360462378358296,-0.10157438082134415,Regime Change,996.3471012938164
2009-03-27 04:00:00,2009-03-27 05:00:00,SHORT,RANGING,Mean Reversion,935.68,928.48,0.14359290116082146,1.0338688883579048,Target Hit,997.3809701821743
2009-03-27 05:00:00,2009-03-27 07:30:00,LONG,VOLATILE,Cautious Mean Reversion,928.48,926.13,0.13801746196928608,-0.3243410356278254,Stop Loss,997.0566291465465
2009-03-27 08:00:00,2009-03-27 10:00:00,SHORT,TRENDING,Momentum Breakout,922.0,926.13,0.08100497081217399,-0.3345505294542782,Stop Loss,996.7220786170922
2009-03-30 01:00:00,2009-03-30 05:00:00,SHORT,VOLATILE,Cautious Mean Reversion,927.23,922.78,0.11255113635265232,0.500852556769308,Target Hit,997.2229311738615
2009-03-30 06:30:00,2009-03-30 09:30:00,LONG,VOLATILE,Cautious Mean Reversion,912.2,927.5,0.07562213111916027,1.1570186061231487,Target Hit,998.3799497799847
2009-03-31 03:30:00,2009-03-31 06:00:00,SHORT,RANGING,Mean Reversion,921.35,915.58,0.09087974973274805,0.5243761559579546,Target Hit,998.9043259359427
2009-04-01 04:00:00,2009-04-01 05:30:00,LONG,VOLATILE,Cautious Mean Reversion,917.63,920.03,0.16970738458773518,0.40729772301056055,Target Hit,999.3116236589532
2009-04-01 07:00:00,2009-04-01 10:00:00,LONG,TRENDING,Momentum Breakout,926.8,920.6,0.09391196879868685,-0.5822542065518521,Stop Loss,998.7293694524013
2009-04-02 02:00:00,2009-04-02 04:00:00,LONG,VOLATILE,Cautious Mean Reversion,923.58,920.4,0.13141226992421906,-0.417891018359025,Stop Loss,998.3114784340423
2009-04-02 04:00:00,2009-04-02 10:00:00,SHORT,TRENDING,Momentum Breakout,920.4,900.85,0.10670486090945082,2.0860800307797587,Target Hit,1000.397558464822
2009-04-02 10:00:00,2009-04-02 15:30:00,SHORT,TRENDING,Momentum Breakout,900.85,904.18,0.040619127181417594,-0.13526169351411763,Regime Change,1000.2622967713079
2009-04-03 03:30:00,2009-04-03 04:30:00,SHORT,VOLATILE,Cautious Mean Reversion,908.5,904.5,0.10855946819818046,0.43423787279272186,Target Hit,1000.6965346441007
2009-04-03 07:00:00,2009-04-03 09:00:00,LONG,VOLATILE,Cautious Mean Reversion,900.45,905.7,0.08604195719271232,0.4517202752617397,Target Hit,1001.1482549193624
2009-04-03 14:00:00,2009-04-05 20:30:00,SHORT,TRENDING,Momentum Breakout,894.1,887.33,0.04673393159330762,0.31638871688669173,Regime Change,1001.4646436362491
2009-04-05 20:30:00,2009-04-05 22:00:00,LONG,VOLATILE,Cautious Mean Reversion,887.33,879.95,0.07495330208512394,-0.5531553693882143,Stop Loss,1000.9114882668608
2009-04-05 22:00:00,2009-04-06 03:30:00,SHORT,TRENDING,Momentum Breakout,879.95,879.3,0.07027382900209017,0.045677988851365,Regime Change,1000.9571662557122
2009-04-06 10:00:00,2009-04-06 15:30:00,LONG,RANGING,Mean Reversion,870.68,868.6,0.047052437261579504,-0.09786906950408195,Regime Change,1000.8592971862081
